Area_sqft,Bedrooms,Bathrooms,Year_Built,Property_Type,Parking_Spaces,Furnishing_Status,Floor_Number,Distance_to_City_Center_km,Balcony_Count,Lift_Availability,Direction_Facing,Banjara Hills,Gachibowli,HITEC City,Jubilee Hills,Kokapet,Kompally,Kondapur,Kukatpally,LB Nagar,Madhapur,Manikonda,Medchal,Mehdipatnam,Miyapur,Moinabad,Nallagandla,Narsingi,Secunderabad,Uppal,Price_INR
1260,2,1,2021,1,2,0,10,20.19,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,12286673
4172,5,3,2014,1,1,0,5,14.74,2,1,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,19786811
3492,5,4,2022,1,1,0,12,11.38,3,1,1.5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,18501538
866,2,2,2023,1,1,0.5,18,30.55,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,8467381
4826,5,3,2016,1,1,1,5,35.22,2,1,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,53495736
3844,1,1,2014,1,2,0,22,8.2,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,40042807
3571,1,2,2016,0.5,2,1,0,3.54,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,47869493
3319,4,4,2015,0.5,2,0.5,0,15.31,3,0,0.5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,25091940
530,1,1,2020,1,1,0,15,17.89,0,1,2.5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6184267
2085,2,1,2023,1,1,0.5,21,2.6,0,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,10204279
1169,4,2,2017,1,1,0,17,19.07,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,14308593
